./docs/am/4.5/getting-started/configuration/configure-monitoring.md:53: vertx ==> Vertx
./docs/am/4.5/getting-started/configuration/configure-monitoring.md:53: vertx ==> Vertx
./docs/am/4.5/getting-started/configuration/configure-repositories.md:33: informatio ==> information
./docs/am/4.5/getting-started/configuration/configure-repositories.md:189: certiticate ==> certificate
./docs/am/4.5/getting-started/configuration/configure-repositories.md:211: certiticate ==> certificate
./docs/am/4.5/getting-started/configuration/configure-repositories.md:222: certiticate ==> certificate
./docs/am/4.5/getting-started/configuration/configure-repositories.md:237: certiticate ==> certificate
./docs/am/4.5/getting-started/configuration/secret-providers.md:219: certifcate ==> certificate
./docs/am/4.5/getting-started/configuration/secret-providers.md:262: ot ==> hotfixes
./docs/am/4.5/getting-started/configuration/configure-am-api/README.md:469: frequence ==> frequency
./docs/am/4.5/getting-started/configuration/configure-am-api/README.md:568: enbabled ==> enabled
./docs/am/4.5/getting-started/configuration/configure-am-api/README.md:579: enbabled ==> enabled
./docs/am/4.5/getting-started/configuration/configure-am-gateway/README.md:422: propogated ==> propagated
./docs/am/4.5/getting-started/configuration/configure-am-gateway/README.md:445: evironment ==> environment
./docs/am/4.5/releases-and-changelog/changelog/am-4.5.x.md:134: crendential ==> credential
./docs/am/4.5/releases-and-changelog/changelog/am-4.5.x.md:291: differente ==> different,
./docs/am/4.5/releases-and-changelog/changelog/am-4.5.x.md:343: attibute ==> attribute
./docs/am/4.5/releases-and-changelog/changelog/am-4.5.x.md:343: recommanded ==> recommended
./docs/am/4.5/releases-and-changelog/release-notes/am-4.5.md:23: consummers ==> consumers
./docs/am/4.5/releases-and-changelog/release-notes/am-4.5.md:37: defaul ==> default
./docs/am/4.5/releases-and-changelog/release-notes/am-4.5.md:45: accross ==> across
./docs/am/4.5/releases-and-changelog/release-notes/am-4.5.md:76: differente ==> different,
./docs/am/4.5/releases-and-changelog/release-notes/am-4.5.md:96: reposity ==> repository
./docs/am/4.2/README.md:26: Managment ==> Management
./docs/am/4.2/guides/certificates.md:82: cerificate ==> certificate
./docs/am/4.2/getting-started/install-and-upgrade-guides/breaking-changes-for-access-management.md:45: sufix ==> suffix
./docs/am/4.2/getting-started/install-and-upgrade-guides/breaking-changes-for-access-management.md:47: applyed ==> applied
./docs/am/4.2/getting-started/install-and-upgrade-guides/breaking-changes-for-access-management.md:132: identiy ==> identify,
./docs/am/4.2/getting-started/install-and-upgrade-guides/breaking-changes-for-access-management.md:472: attribtues ==> attributes
./docs/am/4.2/getting-started/install-and-upgrade-guides/breaking-changes-for-access-management.md:493: certicate ==> certificate
./docs/am/4.2/getting-started/install-and-upgrade-guides/deploy-in-kubernetes.md:622: PostgresSQL ==> PostgreSQL
./docs/am/4.2/getting-started/tutorial-getting-started-with-am/set-up-your-first-application.md:30: securty ==> security
./docs/am/4.2/getting-started/configuration/configure-monitoring.md:53: vertx ==> Vertx
./docs/am/4.2/getting-started/configuration/configure-monitoring.md:53: vertx ==> Vertx
./docs/am/4.2/getting-started/configuration/configure-repositories.md:185: certiticate ==> certificate
./docs/am/4.2/getting-started/configuration/configure-repositories.md:207: certiticate ==> certificate
./docs/am/4.2/getting-started/configuration/configure-repositories.md:218: certiticate ==> certificate
./docs/am/4.2/getting-started/configuration/configure-repositories.md:233: certiticate ==> certificate
./docs/am/4.2/getting-started/configuration/secret-providers.md:219: certifcate ==> certificate
./docs/am/4.2/getting-started/configuration/secret-providers.md:262: ot ==> hotfixes
./docs/am/4.2/getting-started/configuration/configure-am-api/README.md:427: frequence ==> frequency
./docs/am/4.0/guides/certificates.md:88: cerificate ==> certificate
./docs/am/4.0/getting-started/install-and-upgrade-guides/breaking-changes-for-access-management.md:45: sufix ==> suffix
./docs/am/4.0/getting-started/install-and-upgrade-guides/breaking-changes-for-access-management.md:47: applyed ==> applied
./docs/am/4.0/getting-started/install-and-upgrade-guides/breaking-changes-for-access-management.md:132: identiy ==> identify,
./docs/am/4.0/getting-started/install-and-upgrade-guides/breaking-changes-for-access-management.md:472: attribtues ==> attributes
./docs/am/4.0/getting-started/install-and-upgrade-guides/breaking-changes-for-access-management.md:493: certicate ==> certificate
./docs/am/4.0/getting-started/install-and-upgrade-guides/deploy-in-kubernetes.md:617: PostgresSQL ==> PostgreSQL
./docs/am/4.0/getting-started/tutorial-getting-started-with-am/set-up-your-first-application.md:34: securty ==> security
./docs/am/4.0/getting-started/configuration/configure-monitoring.md:53: vertx ==> Vertx
./docs/am/4.0/getting-started/configuration/configure-monitoring.md:53: vertx ==> Vertx
./docs/am/4.0/getting-started/configuration/configure-repositories.md:185: certiticate ==> certificate
./docs/am/4.0/getting-started/configuration/configure-repositories.md:207: certiticate ==> certificate
./docs/am/4.0/getting-started/configuration/configure-repositories.md:218: certiticate ==> certificate
./docs/am/4.0/getting-started/configuration/configure-repositories.md:233: certiticate ==> certificate
./docs/am/4.0/getting-started/configuration/configure-am-api/README.md:360: frequence ==> frequency
./docs/am/4.4/README.md:26: Managment ==> Management
./docs/am/4.4/guides/certificates.md:82: cerificate ==> certificate
./docs/am/4.4/guides/certificates.md:86: cetificate ==> certificate
./docs/am/4.4/guides/user-management/users/password-options.md:13: isnt ==> isn't
./docs/am/4.4/guides/identity-providers/social-identity-providers/openid-connect.md:5: specificiation ==> specification
./docs/am/4.4/guides/identity-providers/social-identity-providers/openid-connect.md:36: sepcify ==> specify
./docs/am/4.4/guides/multi-factor-authentication/configure-mfa-for-an-application.md:9: succesfull ==> successful
./docs/am/4.4/guides/multi-factor-authentication/configure-mfa-for-an-application.md:43: Langauage ==> Language
./docs/am/4.4/guides/multi-factor-authentication/managing-factors/README.md:7: re-used ==> reused
./docs/am/4.4/getting-started/install-and-upgrade-guides/breaking-changes-for-access-management.md:45: sufix ==> suffix
./docs/am/4.4/getting-started/install-and-upgrade-guides/breaking-changes-for-access-management.md:47: applyed ==> applied
./docs/am/4.4/getting-started/install-and-upgrade-guides/breaking-changes-for-access-management.md:132: identiy ==> identify,
./docs/am/4.4/getting-started/install-and-upgrade-guides/breaking-changes-for-access-management.md:472: attribtues ==> attributes
./docs/am/4.4/getting-started/install-and-upgrade-guides/breaking-changes-for-access-management.md:493: certicate ==> certificate
./docs/am/4.4/getting-started/install-and-upgrade-guides/deploy-in-kubernetes.md:622: PostgresSQL ==> PostgreSQL
./docs/am/4.4/getting-started/tutorial-getting-started-with-am/set-up-your-first-application.md:30: securty ==> security
./docs/am/4.4/getting-started/configuration/configure-monitoring.md:53: vertx ==> Vertx
./docs/am/4.4/getting-started/configuration/configure-monitoring.md:53: vertx ==> Vertx
./docs/am/4.4/getting-started/configuration/configure-repositories.md:185: certiticate ==> certificate
./docs/am/4.4/getting-started/configuration/configure-repositories.md:207: certiticate ==> certificate
./docs/am/4.4/getting-started/configuration/configure-repositories.md:218: certiticate ==> certificate
./docs/am/4.4/getting-started/configuration/configure-repositories.md:233: certiticate ==> certificate
./docs/am/4.4/getting-started/configuration/secret-providers.md:219: certifcate ==> certificate
./docs/am/4.4/getting-started/configuration/secret-providers.md:262: ot ==> hotfixes
./docs/am/4.4/getting-started/configuration/configure-am-api/README.md:427: frequence ==> frequency
./docs/am/4.3/README.md:26: Managment ==> Management
./docs/am/4.3/guides/certificates.md:82: cerificate ==> certificate
./docs/am/4.3/guides/multi-factor-authentication/configure-mfa-for-an-application.md:9: succesfull ==> successful
./docs/am/4.3/guides/multi-factor-authentication/configure-mfa-for-an-application.md:43: Langauage ==> Language
./docs/am/4.3/guides/multi-factor-authentication/managing-factors/README.md:7: re-used ==> reused
./docs/am/4.3/getting-started/install-and-upgrade-guides/breaking-changes-for-access-management.md:45: sufix ==> suffix
./docs/am/4.3/getting-started/install-and-upgrade-guides/breaking-changes-for-access-management.md:47: applyed ==> applied
./docs/am/4.3/getting-started/install-and-upgrade-guides/breaking-changes-for-access-management.md:132: identiy ==> identify,
./docs/am/4.3/getting-started/install-and-upgrade-guides/breaking-changes-for-access-management.md:472: attribtues ==> attributes
./docs/am/4.3/getting-started/install-and-upgrade-guides/breaking-changes-for-access-management.md:493: certicate ==> certificate
./docs/am/4.3/getting-started/install-and-upgrade-guides/deploy-in-kubernetes.md:622: PostgresSQL ==> PostgreSQL
./docs/am/4.3/getting-started/tutorial-getting-started-with-am/set-up-your-first-application.md:30: securty ==> security
./docs/am/4.3/getting-started/configuration/configure-monitoring.md:53: vertx ==> Vertx
./docs/am/4.3/getting-started/configuration/configure-monitoring.md:53: vertx ==> Vertx
./docs/am/4.3/getting-started/configuration/configure-repositories.md:185: certiticate ==> certificate
./docs/am/4.3/getting-started/configuration/configure-repositories.md:207: certiticate ==> certificate
./docs/am/4.3/getting-started/configuration/configure-repositories.md:218: certiticate ==> certificate
./docs/am/4.3/getting-started/configuration/configure-repositories.md:233: certiticate ==> certificate
./docs/am/4.3/getting-started/configuration/secret-providers.md:219: certifcate ==> certificate
./docs/am/4.3/getting-started/configuration/secret-providers.md:262: ot ==> hotfixes
./docs/am/4.3/getting-started/configuration/configure-am-api/README.md:427: frequence ==> frequency
./docs/apim/4.1/guides/gravitee-expression-language.md:242: Prinicipal ==> Principal
./docs/apim/4.1/guides/gravitee-expression-language.md:252: Prinicipal ==> Principal
./docs/apim/4.1/guides/create-apis/README.md:2: criticial ==> critical
./docs/apim/4.1/guides/create-apis/how-to/v4-api-creation-wizard-docs.md:225: attemps ==> attempts
./docs/apim/4.1/guides/create-apis/how-to/v4-api-creation-wizard.md:348: attemps ==> attempts
./docs/apim/4.1/guides/api-performance-and-measurement/how-to.md:19: anayltics ==> analytics
./docs/apim/4.1/guides/api-measurement-tracking-and-analytics/README.md:36: anayltics ==> analytics
./docs/apim/4.1/guides/api-measurement-tracking-and-analytics/README.md:43: mangaging ==> managing
./docs/apim/4.1/guides/api-measurement-tracking-and-analytics/how-to.md:19: anayltics ==> analytics
./docs/apim/4.1/guides/administration/authentication-and-sso.md:285: setttings ==> settings
./docs/apim/4.1/guides/administration/authentication-and-sso.md:295: Confoguring ==> Configuring
./docs/apim/4.1/guides/administration/how-to.md:30: Automatical ==> Automatically,
./docs/apim/4.1/guides/administration/user-management-and-permissions.md:128: acronymn ==> acronym
./docs/apim/4.1/guides/administration/user-management-and-permissions.md:141: oficially ==> officially
./docs/apim/4.1/guides/policy-design/gravitee-expression-language.md:216: Prinicipal ==> Principal
./docs/apim/4.1/guides/policy-design/gravitee-expression-language.md:226: Prinicipal ==> Principal
./docs/apim/4.1/guides/policy-design/v2-api-policy-design-studio.md:137: Encypted ==> Encrypted
./docs/apim/4.1/guides/policy-design/v2-api-policy-design-studio.md:143: Dyanmic ==> Dynamic
./docs/apim/4.1/guides/api-exposure-plans-applications-and-subscriptions/plans-1.md:248: applcation ==> application
./docs/apim/4.1/guides/api-exposure-plans-applications-and-subscriptions/plans.md:168: managment ==> management
./docs/apim/4.1/guides/api-exposure-plans-applications-and-subscriptions/plans.md:182: adminstration ==> administration
./docs/apim/4.1/guides/api-configuration/README.md:11: defintion ==> definition
./docs/apim/4.1/guides/api-configuration/v2-api-configuration/README.md:72: ciricular ==> circular
./docs/apim/4.1/guides/api-configuration/v2-api-configuration/configure-service-discovery.md:33: addtional ==> additional
./docs/apim/4.1/reference/policy-reference/groovy.md:178: build-in ==> built-in
./docs/apim/4.1/reference/policy-reference/json-to-xml.md:159: overriden ==> overridden
./docs/apim/4.1/getting-started/quickstart-guide/gateway-apis-101-traditional-and-message-proxies/message-proxy.md:37: messag ==> message
./docs/apim/4.1/getting-started/hybrid-deployment/hybrid-deployment-on-kubernetes.md:36: Samle ==> Sample,
./docs/apim/4.1/getting-started/install-guides/breaking-changes-and-deprecated-functionality-for-api-management.md:57: Depcrecated ==> Deprecated
./docs/apim/4.1/getting-started/install-guides/install-on-kubernetes/README.md:29: PostgresSQL ==> PostgreSQL
./docs/apim/4.1/getting-started/install-guides/install-on-kubernetes/configure-helm-chart.md:329: PostgresSQL ==> PostgreSQL
./docs/apim/4.1/getting-started/install-guides/install-on-kubernetes/configure-helm-chart.md:647: numner ==> number
./docs/apim/4.1/getting-started/configuration/authentication-and-sso.md:281: setttings ==> settings
./docs/apim/4.1/getting-started/configuration/authentication-and-sso.md:291: Confoguring ==> Configuring
./docs/apim/4.1/getting-started/configuration/configure-http-reverse-proxy.md:127: Managment ==> Management
./docs/apim/4.1/getting-started/configuration/configure-authentication/connect-with-keycloak.md:184: writting ==> writing
./docs/apim/4.1/getting-started/configuration/configure-reporters/README.md:101: negociation ==> negotiation
./docs/apim/4.1/getting-started/configuration/configure-apim-management-api/logging.md:105: vertx ==> Vertx
./docs/apim/4.1/getting-started/configuration/configure-apim-management-api/logging.md:105: vertx ==> Vertx
./docs/apim/4.1/getting-started/configuration/configure-repositories/redis.md:37: vertx ==> Vertx
./docs/apim/4.1/getting-started/configuration/configure-repositories/redis.md:37: vertx ==> Vertx
./docs/apim/4.1/getting-started/configuration/the-gravitee-api-gateway/logging.md:129: vertx ==> Vertx
./docs/apim/4.1/getting-started/configuration/the-gravitee-api-gateway/logging.md:129: vertx ==> Vertx
./docs/apim/4.1/overview/gravitee-api-definitions-and-execution-engines/flow/message-flow-control.md:32: Susbcriber ==> Subscriber
./docs/apim/4.1/releases-and-changelog/changelog/apim-4.1.x.md:55: collasped ==> collapsed
./docs/apim/4.1/releases-and-changelog/changelog/apim-4.1.x.md:199: Appplications ==> Applications
./docs/apim/4.1/releases-and-changelog/changelog/apim-4.1.x.md:546: dashbaord ==> dashboard
./docs/apim/4.6/configure-apim/repositories/redis.md:37: vertx ==> Vertx
./docs/apim/4.6/configure-apim/repositories/redis.md:37: vertx ==> Vertx
./docs/apim/4.6/configure-apim/sensitive-data-management/configuration-level-secrets.md:61: Kubenetes ==> Kubernetes
./docs/apim/4.6/configure-apim/sensitive-data-management/configuration-level-secrets.md:138: certifcate ==> certificate
./docs/apim/4.6/configure-apim/sensitive-data-management/secret-provider-plugins-configuration.md:59: kubenetes ==> Kubernetes
./docs/apim/4.6/configure-apim/sensitive-data-management/secret-provider-plugins-configuration.md:94: kubenetes ==> Kubernetes
./docs/apim/4.6/install-and-upgrade/breaking-changes-and-deprecations.md:87: Depcrecated ==> Deprecated
./docs/apim/4.6/install-and-upgrade/kubernetes.md:21: PostgresSQL ==> PostgreSQL
./docs/apim/4.6/install-and-upgrade/kubernetes.md:245: PostgresSQL ==> PostgreSQL
./docs/apim/4.6/install-and-upgrade/kubernetes.md:261: PostgresSQL ==> PostgreSQL
./docs/apim/4.6/install-and-upgrade/kubernetes.md:576: numner ==> number
./docs/apim/4.6/install-and-upgrade/openshift.md:114: PostgresSQL ==> PostgreSQL
./docs/apim/4.6/install-and-upgrade/openshift.md:115: PostgresSQL ==> PostgreSQL
./docs/apim/4.6/install-and-upgrade/openshift.md:118: PostgresSQL ==> PostgreSQL
./docs/apim/4.6/install-and-upgrade/openshift.md:118: PostgresSQL ==> PostgreSQL
./docs/apim/4.6/install-and-upgrade/openshift.md:121: PostgresSQL ==> PostgreSQL
./docs/apim/4.6/install-and-upgrade/openshift.md:142: PostgresSQL ==> PostgreSQL
./docs/apim/4.6/install-and-upgrade/openshift.md:149: PostgresSQL ==> PostgreSQL
./docs/apim/4.6/install-and-upgrade/openshift.md:295: overriden ==> overridden
./docs/apim/4.6/install-and-upgrade/rpm/manual-install.md:103: Ngnix ==> Nginx
./docs/apim/4.6/install-and-upgrade/rpm/manual-install.md:113: respository ==> repository
./docs/apim/4.6/install-and-upgrade/docker/customize-your-installation.md:48: vairables ==> variables
./docs/apim/4.6/kafka-gateway/other-ways-gravitee-supports-kafka.md:9: Kakfa ==> Kafka
./docs/apim/4.6/getting-started/gravitee-expression-language.md:233: Prinicipal ==> Principal
./docs/apim/4.6/getting-started/gravitee-expression-language.md:243: Prinicipal ==> Principal
./docs/apim/4.6/getting-started/use-case-tutorials/configure-dcr.md:128: Devloper ==> Developer
./docs/apim/4.6/getting-started/use-case-tutorials/configure-jwt-security.md:70: Langauge ==> Language
./docs/apim/4.6/getting-started/production-ready-environment/authentication.md:5: Deverloper ==> Developer
./docs/apim/4.6/hybrid-deployment/hybrid-install-with-kubernetes.md:40: Samle ==> Sample,
./docs/apim/4.6/gravitee-gateway/logging.md:230: vertx ==> Vertx
./docs/apim/4.6/gravitee-gateway/logging.md:230: vertx ==> Vertx
./docs/apim/4.6/gravitee-gateway/opentelemetry.md:37: locahost ==> localhost
./docs/apim/4.6/gravitee-gateway/opentelemetry.md:53: informations ==> information
./docs/apim/4.6/gravitee-gateway/opentelemetry.md:109: locahost ==> localhost
./docs/apim/4.6/gravitee-gateway/opentelemetry.md:127: informations ==> information
./docs/apim/4.6/administration/authentication/social-providers.md:47: setttings ==> settings
./docs/apim/4.6/administration/authentication/social-providers.md:57: Confoguring ==> Configuring
./docs/apim/4.6/policies/data-cache.md:33: Atrribute ==> Attribute
./docs/apim/4.6/policies/json-to-xml.md:160: overriden ==> overridden
./docs/apim/4.6/policies/shared-policy-groups.md:93: choronological ==> chronological
./docs/apim/4.5/SUMMARY.md:299: developement ==> development
./docs/apim/4.5/SUMMARY.md:300: developement ==> development
./docs/apim/4.5/installation-and-upgrades/install-on-kubernetes.md:21: PostgresSQL ==> PostgreSQL
./docs/apim/4.5/installation-and-upgrades/install-on-kubernetes.md:247: PostgresSQL ==> PostgreSQL
./docs/apim/4.5/installation-and-upgrades/install-on-kubernetes.md:263: PostgresSQL ==> PostgreSQL
./docs/apim/4.5/installation-and-upgrades/install-on-kubernetes.md:582: numner ==> number
./docs/apim/4.5/installation-and-upgrades/install-with-.zip.md:154: te ==> filesystem
./docs/apim/4.5/installation-and-upgrades/installing-on-openshift.md:112: PostgresSQL ==> PostgreSQL
